letra,concepto,definicion,tema,tipo_letra
A,AUC,"Área bajo la curva ROC, usada para evaluar clasificadores.",Evaluación de modelos,empieza
A,Análisis exploratorio,Proceso inicial para entender la estructura de un conjunto de datos.,Análisis de datos,empieza
B,Big Data,Grandes volúmenes de datos que requieren nuevas tecnologías para ser procesados.,Datos,empieza
B,Bagging,Técnica de ensamblado que combina modelos entrenados con distintas muestras.,Machine Learning,empieza
C,Coeficiente,Peso numérico asignado a una variable en un modelo.,Modelado,empieza
C,Curva ROC,Gráfico que evalúa la capacidad discriminativa de un modelo binario.,Evaluación de modelos,empieza
D,Descenso por gradiente,Algoritmo usado para minimizar funciones en entrenamiento de modelos.,Optimización,empieza
D,Dendrograma,Representación gráfica de una jerarquía de agrupamientos.,Machine Learning,empieza
E,Estadística,Ciencia que analiza y describe conjuntos de datos.,Estadística,empieza
E,Evaluación,Proceso de medir el rendimiento de un modelo.,Evaluación de modelos,empieza
Z,Z-score,Valor que indica cuántas desviaciones estándar se aleja un dato de la media.,Estadística,empieza
Z,Zona de decisión,Área donde se acepta o rechaza una hipótesis estadística.,Estadística,empieza
Z,Z-test,Prueba estadística para comparar medias cuando se conoce la varianza.,Estadística,empieza
Z,Zero-inflated model,"Modelo para datos con excesivos ceros, común en conteos.",Modelado,empieza
Z,Z-normalización,Proceso de estandarización de datos con media 0 y varianza 1.,Preprocesamiento,empieza
